Song,Type,Cover Artist,Total Plays,First Played,First Venue,First City,Last Played,Last Venue,Last City,Shows Played,Shows Since Last Play,Gap Status,Previous Gap,Average Shows Between Plays,Longest Gap,Venues Played,Cities Played
"My Own Worst Enemy","Cover","Lit",3,"09/15/2023","Blue Point Brewery","Patchogue","02/22/2025","Alfie's Wild Ride","Stowe",3,52,"Monster Gap",50,27,50,2,2
"Roadhouse Blues","Cover","The Doors",3,"10/02/2023","Beach Club Estate","Lake Ronkonkoma","01/18/2025","Mr. Beery's","Bethpage",3,56,"Monster Gap",4,24,44,3,3
"Runaway","Original","",3,"01/27/2024","Blue Point Brewery","Patchogue","04/09/2026","89 North","Patchogue",3,15,"Regular",2,39,76,2,1
"Turn On Your Love Light","Cover","Bobby “Blue” Bland",3,"03/29/2023","Blue Point Brewery","Patchogue","02/13/2026","Blue Point Brewery","Patchogue",3,20,"Regular",4,51.5,99,2,1
"Uncle Rob (Reprise)","Original","",3,"12/01/2023","Blue Point Brewery","Patchogue","01/27/2024","Blue Point Brewery","Patchogue",3,95,"Monster Gap",1,1,1,2,2
"Voodoo Child","Cover","The Jimi Hendrix Experience",3,"10/28/2023","Beau’s Bar","Greenlawn","08/08/2025","Black Oak Tavern","Oneonta",3,37,"Bust Out",51,32,51,2,2
"Whipping Post","Cover","The Allman Brothers Band",3,"08/10/2023","Birdies","Patchogue","10/28/2023","Beau’s Bar","Greenlawn",3,103,"Monster Gap",5,3,5,3,2
"Wolfman's Brother","Cover","Phish",3,"03/10/2023","Industry Lounge & Gallery","Huntington","04/05/2023","Blue Point Brewery","Patchogue",3,123,"Monster Gap",1,1,1,2,2
"(A Swingin') Thank You To Brian","Original","",2,"04/05/2023","Blue Point Brewery","Patchogue","04/12/2023","Blue Point Brewery","Patchogue",2,122,"Monster Gap",0,0,0,1,1
"Don't Let Me Down","Cover","The Beatles",2,"04/12/2023","Blue Point Brewery","Patchogue","04/16/2025","Blue Point Brewery","Patchogue",2,50,"Monster Gap",0,71,71,1,1
"Down With Disease ending","Original","",2,"01/13/2024","Stella Blues","New Haven","06/27/2024","Stella Blues","New Haven",2,79,"Monster Gap",0,16,16,1,1
"Drums/Space","Original","",2,"10/31/2024","Sayville Theater","Sayville","08/14/2025","Downtown","Patchogue",2,35,"Bust Out",0,26,26,2,2
"Fire","Original","",2,"01/27/2024","Blue Point Brewery","Patchogue","06/29/2025","Arrowhead Ranch","Parksville",2,44,"Bust Out",0,50,50,2,2
"Free Fallin'","Cover","Tom Petty",2,"04/05/2023","Blue Point Brewery","Patchogue","01/18/2026","89 North","Patchogue",2,21,"Regular",0,101,101,2,1
"Harry Hood jam","Original","",2,"04/01/2023","Beau’s Bar","Greenlawn","11/22/2023","Bobbique","Patchogue",2,101,"Monster Gap",0,22,22,2,2
"He's Gone","Cover","Grateful Dead",2,"08/14/2023","89 North","Patchogue","07/18/2025","Blue Point Brewery","Patchogue",2,42,"Bust Out",0,67,67,2,1
